Nations Trust Bank Processing Center,6.952499,79.858911,Bank,Shop & Service,229,53,Commercial & Mercantile
aluth mawatha road,6.95829,79.861716,Road,Travel & Transport,36,11,Transportation
MercMarine,6.954994,79.859884,Office,Professional & Other Places,7,4,Professional
VTV Court,6.953262,79.867765,Residential Building (Apartment / Condo),Residence,254,15,Professional
Sri Lanka Customs - Export Facilitation Centre,6.954379,79.86834,Government Building,Professional & Other Places,12,7,Professional
Neurology unit,6.96278,79.869767,Medical Center,Professional & Other Places,14,8,Professional
walls lane,6.953598,79.866639,Residential Building (Apartment / Condo),Residence,18,10,Professional
Choot'z tuk tuk garage,6.954324,79.86812,Automotive Shop,Shop & Service,5,2,Hotels & Restaurants
Sri Lanka Customs (Grey Line 2),6.956689,79.873406,Office,Professional & Other Places,69,30,Professional
AMW Service Center Peliyagoda,6.95579,79.866081,Automotive Shop,Shop & Service,52,21,Hotels & Restaurants
Hungry Jack's,6.960902,79.873314,Burger Joint,Food,4,4,Hotels & Restaurants
Grand Pila Hotel Pilawoos,6.962877,79.869936,Café,Food,11,7,Commercial & Mercantile
Madhampitiya Maracas,6.961171,79.872693,Mosque,Professional & Other Places,37,7,Residential
Kelani Tissa Power Station,6.951902,79.877676,Building,Professional & Other Places,707,231,Professional
Express Way,6.955512,79.88317,Road,Travel & Transport,98,15,Transportation
Colombo Port,6.959176,79.8761,Harbor / Marina,Outdoors & Recreation,53,33,Professional
Thotalaga Bus Stop,6.959117,79.876001,Bus Station,Travel & Transport,183,46,Transportation
TVS Lanka Pvt Ltd,6.955066,79.8754,Bike Shop,Shop & Service,60,37,Hotels & Restaurants
Mercedes-Benz Center - DIMO 800,6.957534,79.876023,Automotive Shop,Shop & Service,175,69,Hotels & Restaurants
Peliyagoda Police Station,6.957193,79.882897,Police Station,Professional & Other Places,48,40,Administration
Thotalanga,6.960662,79.880977,Bus Station,Travel & Transport,228,94,Transportation
Paliyagoda,6.952509,79.880201,Road,Travel & Transport,57,34,Transportation
Thambapanni Bojun,6.953014,79.874853,Asian Restaurant,Food,4,4,Hotels & Restaurants
Traffic Police Station,6.961755,79.881759,Police Station,Professional & Other Places,13,12,Administration
Nawaloka,6.962533,79.881524,Bus Stop,Travel & Transport,135,71,Transportation
Shipping Management Logistics (Pvt) Ltd,6.953553,79.875113,Office,Professional & Other Places,2,2,Professional
Prasanna Batiks,6.954279,79.874251,Boutique,Shop & Service,5,3,Commercial & Mercantile
Madhampitiya Cemetery,6.959111,79.872496,Cemetery,Outdoors & Recreation,10,9,Professional
4th Mile Post,6.955816,79.89071,Bus Station,Travel & Transport,1191,150,Transportation
Lanka IOC,6.955755,79.886374,Gas Station,Shop & Service,61,24,Commercial & Mercantile
Porsche Centre,6.957757,79.889102,Automotive Shop,Shop & Service,389,107,Hotels & Restaurants
"Traffic division, North Range, Peliyagoda",6.955616,79.885455,Police Station,Professional & Other Places,16,13,Administration
Peliyagoda Highway Exit,6.955754,79.887243,Road,Travel & Transport,533,55,Transportation
Laksiri Seva - U.P.B. Warehouse,6.958436,79.887894,Building,Professional & Other Places,58,19,Professional
KIA Workshop,6.959902,79.888065,Auto Workshop,Shop & Service,3,2,Professional
Art Television,6.958256,79.888824,Auto Workshop,Shop & Service,70,34,Professional
Impra Tea,6.956444,79.892028,Factory,Professional & Other Places,149,16,Professional
Millers Limited.,6.960739,79.891874,Building,Professional & Other Places,35,14,Professional
Kelaniya Railway Station,6.960931,79.894404,Train Station,Travel & Transport,2101,350,Transportation
Pattiya Junction,6.960557,79.894575,Bus Station,Travel & Transport,1069,153,Transportation
Sam's Room,6.963294,79.894362,Residential Building (Apartment / Condo),Residence,76,2,Professional
New Neelagiri Hotel & Bakery,6.961296,79.893295,Bakery,Food,6,3,Professional
Murals In Kelaniya Temple,6.957325,79.894728,Temple,Professional & Other Places,6,6,Residential
Cargills Food City,6.951686,79.905116,Convenience Store,Shop & Service,87,32,Commercial & Mercantile
Sun Food,6.952141,79.903077,Chinese Restaurant,Food,57,22,Hotels & Restaurants
Giridara Junction,6.953822,80.09927,Bus Station,Travel & Transport,54,16,Transportation
Pizza Hut,6.953535,80.204077,Pizza Place,Food,30,19,Hotels & Restaurants
Chandra Cinema,6.955129,80.20581,Movie Theater,Arts & Entertainment,2,2,Recreation
Cafe Plus,6.954571,80.205897,Café,Food,7,6,Commercial & Mercantile
Kelani Valley Hospital ( Pvt) Ltd.,6.955183,80.206414,Hospital,Professional & Other Places,12,4,Hospitals
Base Hospital Avissawella,6.956125,80.207188,Hospital,Professional & Other Places,51,22,Hospitals
Pizza Hut avissawella,6.955287,80.204219,Italian Restaurant,Food,19,10,Hotels & Restaurants
Pizza Hut,6.953555,80.204813,Pizza Place,Food,7,6,Hotels & Restaurants
Avissawella Rest House,6.954004,80.210244,Asian Restaurant,Food,49,11,Hotels & Restaurants
Avissawella railway,6.953714,80.208069,Train Station,Travel & Transport,4,3,Transportation
Rashmi,6.952482,80.213333,Clothing Store,Shop & Service,13,9,Commercial & Mercantile
Don's Lake Holiday Resort,6.952899,80.215887,Clothing Store,Shop & Service,3,3,Commercial & Mercantile
St. Anthony's Church,6.946705,79.8561,Church,Professional & Other Places,1435,364,Residential
Keells Super,6.948105,79.860929,Supermarket,Shop & Service,902,161,Commercial & Mercantile
iCreative Works (Pvt) Ltd.,6.949538,79.862121,Office,Professional & Other Places,101,4,Professional
McDonalds,6.948017,79.860776,Fast Food Restaurant,Food,1139,425,Hotels & Restaurants
Kotahena Street,6.949889,79.862745,General Travel,Travel & Transport,445,80,Transportation
Commercial Bank Kotahena,6.946552,79.861159,Bank,Shop & Service,50,23,Commercial & Mercantile
KFC,6.948281,79.859447,Fried Chicken Joint,Food,511,232,Commercial & Mercantile
Orient Pharmacy,6.947628,79.862274,Pharmacy,Shop & Service,79,23,Hotels & Restaurants
Sri Varatharaja Vinayagar Kovil,6.950086,79.862537,Hindu Temple,Professional & Other Places,19,5,Residential
Bonjean Road,6.948182,79.862285,General Travel,Travel & Transport,101,19,Transportation
Cargills Food City Kotahena,6.948711,79.859496,Department Store,Shop & Service,426,115,Administration
Sri Vaishnavi Vihar,6.949191,79.862613,Indian Restaurant,Food,189,38,Hotels & Restaurants
Zuzi,6.947353,79.862242,Clothing Store,Shop & Service,58,16,Commercial & Mercantile
Shri Ponnambalavaneswarar Kovil,6.947578,79.857194,Hindu Temple,Professional & Other Places,574,131,Residential
Dilish,6.948441,79.862237,Bakery,Food,30,12,Professional
DFCC Bank,6.947779,79.861651,Bank,Shop & Service,34,2,Commercial & Mercantile
Horton Place,6.94948,79.862034,Road,Travel & Transport,310,60,Transportation
Pizza Hut,6.948756,79.859753,Pizza Place,Food,179,100,Hotels & Restaurants
Sri Muththumari Ammam Kovil,6.94902,79.862515,Temple,Professional & Other Places,21,8,Residential
Jampettah Lane,6.946562,79.858468,General Travel,Travel & Transport,108,20,Transportation
Informatics International Limited,6.94843,79.858533,IT Services,Shop & Service,2313,60,Professional
Commercial Bank,6.947784,79.861323,Building,Professional & Other Places,165,64,Professional
Sri Gunananda Mawatha,6.9512,79.860469,General Travel,Travel & Transport,46,6,Transportation
Pickerings Road,6.949433,79.86053,General Travel,Travel & Transport,156,24,Transportation
shima fresh fitness centre,6.947961,79.86141,Athletics & Sports,Outdoors & Recreation,9,2,Recreation
George R. De Silva Mw,6.94925,79.857871,Bus Line,Travel & Transport,88,19,Transportation
Bank of Ceylon Kotahena,6.948075,79.861142,Bank,Shop & Service,7,6,Commercial & Mercantile
Sampath Bank,6.948223,79.860519,Bank,Shop & Service,180,42,Commercial & Mercantile
Wasala Road,6.950983,79.864101,General Travel,Travel & Transport,200,39,Transportation
Diesel & Motor Engineering PLC (DIMO),6.944439,79.866125,Office,Professional & Other Places,784,126,Professional
Sugathadasa Outdoor Stadium,6.947951,79.868438,Stadium,Arts & Entertainment,138,57,Recreation
K.Cyril C. Perera Mawatha,6.9505,79.867361,Road,Travel & Transport,22,2,Transportation
Sugathadasa Stadium,6.948087,79.868203,Athletics & Sports,Outdoors & Recreation,235,128,Recreation
Awwal Zaviya,6.946554,79.871522,Tea Room,Food,28,16,Commercial & Mercantile
Sugathadasa Indoor Stadium,6.946216,79.867268,Stadium,Arts & Entertainment,1100,549,Recreation
HNB ATM,6.950095,79.864178,ATM,Shop & Service,3,2, 
St. Lucia's Cathedral,6.948026,79.863997,Church,Professional & Other Places,444,137,Residential
Sugathadasa Stadium,6.945595,79.867448,Playground,Outdoors & Recreation,417,145,Recreation
La Salle English School,6.948325,79.867268,School,Professional & Other Places,3,2,Education
JDC Graphic Systems (Pvt) Ltd.,6.94436,79.870481,Design Studio,Shop & Service,4,2, 
Grandpass City (SET),6.945917,79.871747,Other Great Outdoors,Outdoors & Recreation,329,125, 
Capital Bus Stand,6.945042,79.865178,Bus Station,Travel & Transport,11,3,Transportation
Kosgashandiya,6.946336,79.871703,Bus Line,Travel & Transport,40,19,Transportation
Sugathadasa Stadium,6.948866,79.872775,College Track,College & University,155,73,Education
St. Benedict's Street,6.950036,79.864582,General Travel,Travel & Transport,130,31,Transportation
Hotel Grandpass,6.946513,79.871577,Bed & Breakfast,Travel & Transport,13,8, 
Mayfield Road,6.949896,79.86491,Road,Travel & Transport,364,17,Transportation
Bosch Center,6.945865,79.865064,Automotive Shop,Shop & Service,18,13,Hotels & Restaurants
Lalan Safety Products (Pvt) Ltd,6.944957,79.870554,Office,Professional & Other Places,5,2,Professional
344,6.951025,79.867667,Hardware Store,Shop & Service,8,2,Commercial & Mercantile
Edna Group of Companies,6.94402,79.869007,Office,Professional & Other Places,79,9,Professional
Glory Apartment,6.949932,79.864844,Residential Building (Apartment / Condo),Residence,662,6,Professional
Kotahena Church,6.950357,79.865053,Church,Professional & Other Places,6,4,Residential
Senok,6.943754,79.867568,Auto Garage,Shop & Service,18,8,Commercial & Mercantile
Cargills Food City Grandpass,6.944461,79.867175,Market,Shop & Service,34,18,Commercial & Mercantile
Orugodawatta,6.943589,79.878402,General Travel,Travel & Transport,3415,858,Transportation
Ingurukade Junction,6.95081,79.874322,Bus Station,Travel & Transport,1509,297,Transportation
WNS,6.944254,79.878413,Office,Professional & Other Places,73,7,Professional
Alnitak Building,6.945351,79.878856,Building,Professional & Other Places,55,2,Professional
Laugfs Filling Station,6.942828,79.878631,Gas Station,Shop & Service,404,204,Commercial & Mercantile
Sampath Bank,6.942922,79.878478,Bank,Shop & Service,43,15,Commercial & Mercantile
New Wheels Mart,6.946565,79.878145,Car Wash,Shop & Service,18,9,Commercial & Mercantile
Port Access Road Junction,6.948999,79.873371,Road,Travel & Transport,7,6,Transportation
Kosgas Junction,6.948989,79.878396,Bus Station,Travel & Transport,98,35,Transportation
City Line Bus,6.951079,79.873985,Bus Line,Travel & Transport,4,3,Transportation
Sampath Bank - Orugodawattha,6.942914,79.878325,Bank,Shop & Service,7,4,Commercial & Mercantile
Sirimavo Bandaranayake Mawatha,6.950443,79.873415,Road,Travel & Transport,52,9,Transportation
St. Joseph's Church,6.949099,79.873579,Church,Professional & Other Places,16,9,Residential
Earth International,6.947056,79.878633,General College & University,College & University,24,15,Education
Kelaniya Bridge,6.950694,79.873759,General College & University,College & University,12,5,Education
Laughs Sun Up Maligawatha,6.943045,79.878221,Convenience Store,Shop & Service,18,15,Commercial & Mercantile
Sri Somaloka Buddhist Temple,6.943546,79.877774,Temple,Professional & Other Places,5,5,Residential
Logiventures (pvt) Ltd,6.952285,79.882328,Office,Professional & Other Places,58,12,Professional
Kelanitissa Combined Cycle Power Plant,6.95109,79.876974,Factory,Professional & Other Places,8,3,Professional
United Motors Workshop,6.9476,79.881463,Gas Station,Shop & Service,153,72,Commercial & Mercantile
automobile engineering training institute,6.949479,79.878872,College Engineering Building,College & University,19,5,Education
St.Benedict's Cricket Ground,6.949781,79.878052,College Cricket Pitch,College & University,13,13,Education
Ambatale Road,6.948204,79.88568,Road,Travel & Transport,21,6,Transportation
J.L. Morison Son & Jones (Ceylon) PLC,6.950806,79.905869,Office,Professional & Other Places,2,2,Professional
Kelaniya Rajamaha Viharaya,6.95159,79.918038,Buddhist Temple,Professional & Other Places,1773,839,Residential
Don & Sons Bakers,6.950191,79.914556,Bakery,Food,22,18,Professional
Kohilawatta,6.945658,79.912058,Road,Travel & Transport,41,5,Transportation
People's Bank,6.950734,79.917283,Bank,Shop & Service,6,4,Commercial & Mercantile
